text,context,target
Located at the end of a magnificent block.,LOCATION#GENERAL,block
Very cozy and warm inside.....,AMBIENCE#GENERAL,NULL
I will be back!,RESTAURANT#GENERAL,NULL
This is the best sushi in new york city - hands down.,FOOD#QUALITY,sushi
The place is small and cramped but the food is fantastic.,AMBIENCE#GENERAL,place
The place is small and cramped but the food is fantastic.,FOOD#QUALITY,food
Get the tuna of gari.,FOOD#QUALITY,tuna of gari
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",FOOD#QUALITY,sushi
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",FOOD#QUALITY,thai food
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",RESTAURANT#GENERAL,Planet Thailand
"With the great variety on the menu , I eat here often and never get bored .",FOOD#STYLE_OPTIONS,menu
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",AMBIENCE#GENERAL,atmosphere
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",RESTAURANT#PRICES,NULL
It's all about the food !!,FOOD#QUALITY,food
first it took us a long time to find the place.,RESTAURANT#MISCELLANEOUS,place
"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",FOOD#STYLE_OPTIONS,menu
"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#STYLE_OPTIONS,rolls
"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#QUALITY,rolls
"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#QUALITY,sashimi
"they were dry and disgusting, i didn't even finish my first piece.",FOOD#QUALITY,NULL
Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,SERVICE#GENERAL,NULL
"Try the crunchy tuna, it is to die for.",FOOD#QUALITY,crunchy tuna
"Try everything for that matter, it is all good.",FOOD#QUALITY,NULL
I have been going there since it opened and I can't get enough.,RESTAURANT#GENERAL,NULL
First went here to enjoy their garden terrace.,AMBIENCE#GENERAL,garden terrace
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",FOOD#QUALITY,food
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",SERVICE#GENERAL,service
"The Steak Tartare is a great bet, they fix it for you at the table.",FOOD#STYLE_OPTIONS,Steak Tartare
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",AMBIENCE#GENERAL,open kitchen
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",AMBIENCE#GENERAL,restaurant
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#STYLE_OPTIONS,wine selection
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#QUALITY,Gigondas
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",DRINKS#PRICES,house champagne
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE#GENERAL,NULL
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE#GENERAL,vibe
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",FOOD#QUALITY,French food
"Have recommended the place to friends, always gets good response.",RESTAURANT#MISCELLANEOUS,place
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",FOOD#QUALITY,crust
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",FOOD#QUALITY,pizza
I take all my NYC guests to VT's.,RESTAURANT#MISCELLANEOUS,VT's
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",LOCATION#GENERAL,neighborhood
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",FOOD#QUALITY,food
I've been there three times and have always had wonderful experiences.,RESTAURANT#GENERAL,NULL
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,AMBIENCE#GENERAL,setting
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,SERVICE#GENERAL,service
I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,RESTAURANT#MISCELLANEOUS,NULL
I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,RESTAURANT#GENERAL,Mizu
Even after they overcharged me the last time I was there.,SERVICE#GENERAL,NULL
Make sure you have the Spicy Scallop roll.. .,FOOD#QUALITY,Spicy Scallop roll
it's delicious!,FOOD#QUALITY,NULL
"Moules were excellent, lobster ravioli was VERY salty!",FOOD#QUALITY,Moules
"Moules were excellent, lobster ravioli was VERY salty!",FOOD#QUALITY,lobster ravioli
"Took my mom for Mother's Day, and the maitre d' was pretty rude.",SERVICE#GENERAL,maitre d'
"Told us to sit anywhere, and when we sat he said the table was reserved.",SERVICE#GENERAL,NULL
Stepped on my foot on the SECOND time he reached over me to adjust lighting.,SERVICE#GENERAL,NULL
Tiny dessert was $8.00...just plain overpriced for what it is.,FOOD#STYLE_OPTIONS,dessert
Tiny dessert was $8.00...just plain overpriced for what it is.,FOOD#PRICES,dessert
The drinks are always welll made and wine selection is fairly priced.,DRINKS#QUALITY,drinks
The drinks are always welll made and wine selection is fairly priced.,DRINKS#PRICES,wine selection
Try their chef's specials-- they are to die for.,FOOD#QUALITY,chef's specials
"Service is not exactly five star, but thats not really a big deal.",SERVICE#GENERAL,Service
Downstairs lounge is always a good attraction,AMBIENCE#GENERAL,Downstairs lounge
"Raga's is a romantic, cozy restaurant.",AMBIENCE#GENERAL,Raga's
The exotic food is beautifully presented and is a delight in delicious combinations.,FOOD#STYLE_OPTIONS,exotic food
The exotic food is beautifully presented and is a delight in delicious combinations.,FOOD#QUALITY,exotic food
It is also extremely well priced.,FOOD#PRICES,NULL
The staff is incredibly helpful and attentive.,SERVICE#GENERAL,staff
The bar is very well stocked with interesting beers and well priced wines.,DRINKS#STYLE_OPTIONS,bar
The bar is very well stocked with interesting beers and well priced wines.,DRINKS#STYLE_OPTIONS,beers
The bar is very well stocked with interesting beers and well priced wines.,DRINKS#PRICES,wines
This is one of my favorite restaurants and it is not to be missed.,RESTAURANT#GENERAL,NULL
Your friends will thank you for introducing them to this gem!,RESTAURANT#GENERAL,NULL
"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",RESTAURANT#GENERAL,Leon
"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",SERVICE#GENERAL,waitress
"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ",SERVICE#GENERAL,NULL
Such a disappointment...,SERVICE#GENERAL,NULL
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",SERVICE#GENERAL,service
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",FOOD#QUALITY,food
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",RESTAURANT#GENERAL,NULL
I had a grat time at Jekyll and Hyde!,RESTAURANT#GENERAL,Jekyll and Hyde
I loved everythig about it-especially the shows and actors.,RESTAURANT#GENERAL,NULL
I loved everythig about it-especially the shows and actors.,AMBIENCE#GENERAL,shows
I loved everythig about it-especially the shows and actors.,AMBIENCE#GENERAL,actors
Our server was very helpful and friendly.,SERVICE#GENERAL,server
I am bringing my whole family back next time.,RESTAURANT#MISCELLANEOUS,NULL
The food was good too.,FOOD#QUALITY,food
The tuna and wasabe potatoes are excellent.,FOOD#QUALITY,tuna
The tuna and wasabe potatoes are excellent.,FOOD#QUALITY,wasabe potatoes
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,LOCATION#GENERAL,outdoor atmosphere
"Inside is a little cramped, but to be expected.",AMBIENCE#GENERAL,NULL
Service was prompt and courteous.,SERVICE#GENERAL,Service
This was a repeat visit and we'll definitely be back again.,RESTAURANT#GENERAL,NULL
"Great service, great food.",SERVICE#GENERAL,service
"Great service, great food.",FOOD#QUALITY,food
Prices are in line.,RESTAURANT#PRICES,NULL
But too far east!,LOCATION#GENERAL,NULL
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",FOOD#QUALITY,pizza
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",FOOD#QUALITY,fresh mozzarella
"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",FOOD#STYLE_OPTIONS,appetizer selection
"Also, because it is so thin, it gets cold very quickly and its not that filling.",FOOD#QUALITY,NULL
"Also, because it is so thin, it gets cold very quickly and its not that filling.",FOOD#STYLE_OPTIONS,NULL
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,SERVICE#GENERAL,Wait staff
Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,FOOD#QUALITY,pie
By far the best salad I have had in a fast food restaurant.,FOOD#QUALITY,salad
fine dining restaurant quality.,FOOD#QUALITY,dining
Over 100 different choices to create your own.,FOOD#STYLE_OPTIONS,NULL
A must try!,RESTAURANT#GENERAL,NULL
"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",RESTAURANT#GENERAL,restaurant
"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",FOOD#QUALITY,NULL
"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",AMBIENCE#GENERAL,NULL
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD#QUALITY,chicken pot pie
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD#STYLE_OPTIONS,cheeseburger
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD#QUALITY,cheeseburger
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",SERVICE#GENERAL,service
"With so many poor experiences to be had in the theater district, is truly an excellent find!",RESTAURANT#GENERAL,NULL
We will return many times for this oasis in mid-town.,RESTAURANT#GENERAL,NULL
The staff is no nonsense.,SERVICE#GENERAL,staff
The food options rule.,FOOD#STYLE_OPTIONS,food
When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,FOOD#QUALITY,bagels
Worth visiting the 1st Ave spot because it is the original store.,RESTAURANT#MISCELLANEOUS,1st Ave spot
"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",FOOD#QUALITY,Uni Hand roll
The sake menu should not be overlooked!,DRINKS#STYLE_OPTIONS,sake menu
"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",RESTAURANT#GENERAL,NULL
Try the lobster teriyaki and the rose special roll.,FOOD#QUALITY,lobster teriyaki
Try the lobster teriyaki and the rose special roll.,FOOD#QUALITY,rose special roll
"Service was very good - prompt, attentive and non-intrusive.",SERVICE#GENERAL,Service
